Code Postal, Ville 
12100,CREISSELS 
12300,DECAZEVILLE 
12000,DRUELLE BALSAC 
12510,DRUELLE BALSAC 
12500,ESPALION 
12300,FIRMI 
12450,FLAVIN 
12310,LAISSAC SEVERAC L EGLISE 
12740,LA LOUBIERE 
12450,LUC LA PRIMAUBE 
12330,MARCILLAC VALLON 
12100,MILLAU 
12000,LE MONASTERE 
12630,MONTROZIER 
12800,NAUCELLE 
12510,OLEMPS 
12000,ONET LE CHATEAU 
12850,ONET LE CHATEAU 
12290,PONT DE SALARS 
12170,REQUISTA 
12240,RIEUPEYROUX 
12390,RIGNAC 
12000,RODEZ 
12400,ST AFFRIQUE 
12210,ARGENCES EN AUBRAC 
12420,ARGENCES EN AUBRAC 
12130,ST GENIEZ D OLT ET D AUBRAC 
12100,ST GEORGES DE LUZENCON 
12850,STE RADEGONDE 
12330,SALLES LA SOURCE 
12740,SEBAZAC CONCOURES 
12150,SEVERAC D AVEYRON 
12330,VALADY 
12200,VILLEFRANCHE DE ROUERGUE 
12260,VILLENEUVE 
13080,AIX EN PROVENCE 
13090,AIX EN PROVENCE 
13100,AIX EN PROVENCE 
13290,AIX EN PROVENCE 
13540,AIX EN PROVENCE 
13190,ALLAUCH 
13980,ALLEINS 
13104,ARLES 
13123,ARLES 
13129,ARLES 
13200,ARLES 
13280,ARLES 
13400,AUBAGNE 
13930,AUREILLE 
13390,AURIOL 
13570,BARBENTANE 
13720,BELCODENE 
13130,BERRE L ETANG 
13320,BOUC BEL AIR 
13720,LA BOUILLADISSE 
13150,BOULBON 
13440,CABANNES 
13480,CABRIES 
13950,CADOLIVE 
13620,CARRY LE ROUET 
13260,CASSIS 
13600,CEYRESTE 
13350,CHARLEVAL 
13790,CHATEAUNEUF LE ROUGE 
13220,CHATEAUNEUF LES MARTIGUES 
13160,CHATEAURENARD 
13600,LA CIOTAT 
13250,CORNILLON CONFOUX 
13780,CUGES LES PINS 
13112,LA DESTROUSSE 
13510,EGUILLES 
13820,ENSUES LA REDONNE 
